date,symbol_id,symbol_name,open,high,low,close
2026-01-02,1,AAPL,272.26,277.84,269.00,271.01
2025-12-31,1,AAPL,273.06,273.68,271.75,271.86
2025-12-30,1,AAPL,272.81,274.08,272.28,273.08
2025-12-29,1,AAPL,272.69,274.36,272.35,273.76
2025-12-26,1,AAPL,274.16,275.37,272.86,273.40
2025-12-24,1,AAPL,272.34,275.43,272.20,273.81
2025-12-23,1,AAPL,270.84,272.50,269.56,272.36
2025-12-22,1,AAPL,272.86,273.88,270.50,270.97
2025-12-19,1,AAPL,272.14,274.60,269.90,273.67
2025-12-18,1,AAPL,273.60,273.63,266.95,272.19
2025-12-17,1,AAPL,275.01,276.16,271.64,271.84
2025-12-16,1,AAPL,272.82,275.50,271.79,274.61
2025-12-15,1,AAPL,280.15,280.15,272.84,274.11
2025-12-12,1,AAPL,277.90,279.22,276.82,278.28
2025-12-11,1,AAPL,279.10,279.59,273.81,278.03
2025-12-10,1,AAPL,277.75,279.75,276.44,278.78
2025-12-09,1,AAPL,278.16,280.03,276.92,277.18
2025-12-08,1,AAPL,278.13,279.67,276.15,277.89
2025-12-05,1,AAPL,280.54,281.14,278.05,278.78
2025-12-04,1,AAPL,284.10,284.73,278.59,280.70
2025-12-03,1,AAPL,286.20,288.62,283.30,284.15
2025-12-02,1,AAPL,283.00,287.40,282.63,286.19
2025-12-01,1,AAPL,278.01,283.42,276.14,283.10
2025-11-28,1,AAPL,277.26,279.00,275.99,278.85
2025-11-26,1,AAPL,276.96,279.53,276.63,277.55
2025-11-25,1,AAPL,275.27,280.38,275.25,276.97
2025-11-24,1,AAPL,270.90,277.00,270.90,275.92
2025-11-21,1,AAPL,265.95,273.33,265.67,271.49
2025-11-20,1,AAPL,270.83,275.43,265.92,266.25
2025-11-19,1,AAPL,265.52,272.21,265.50,268.56
2025-11-18,1,AAPL,269.99,270.71,265.32,267.44
2025-11-17,1,AAPL,268.82,270.49,265.73,267.46
2025-11-14,1,AAPL,271.05,275.96,269.60,272.41
2025-11-13,1,AAPL,274.11,276.70,272.09,272.95
2025-11-12,1,AAPL,275.00,275.73,271.70,273.47
2025-11-11,1,AAPL,269.81,275.91,269.80,275.25
2025-11-10,1,AAPL,268.96,273.73,267.46,269.43
2025-11-07,1,AAPL,269.80,272.29,266.77,268.47
2025-11-06,1,AAPL,267.89,273.40,267.89,269.77
2025-11-05,1,AAPL,268.61,271.70,266.93,270.14
2025-11-04,1,AAPL,268.32,271.49,267.62,270.04
2025-11-03,1,AAPL,270.42,270.85,266.25,269.05
2025-10-31,1,AAPL,276.99,277.32,269.16,270.37
2025-10-30,1,AAPL,271.99,274.14,268.48,271.40
2025-10-29,1,AAPL,269.27,271.41,267.11,269.70
2025-10-28,1,AAPL,268.98,269.89,268.15,269.00
2025-10-27,1,AAPL,264.88,269.12,264.65,268.81
2025-10-24,1,AAPL,261.19,264.13,259.18,262.82
2025-10-23,1,AAPL,259.94,260.62,258.01,259.58
2025-10-22,1,AAPL,262.65,262.85,255.43,258.45
2025-10-21,1,AAPL,261.88,265.29,261.83,262.77
2025-10-20,1,AAPL,255.88,264.38,255.63,262.24
2025-10-17,1,AAPL,248.02,253.38,247.27,252.29
2025-10-16,1,AAPL,248.25,249.04,245.13,247.45
2025-10-15,1,AAPL,249.48,251.82,247.47,249.34
2025-10-14,1,AAPL,246.60,248.84,244.70,247.77
2025-10-13,1,AAPL,249.38,249.69,245.56,247.66
2025-10-10,1,AAPL,254.94,256.38,244.00,245.27
2025-10-09,1,AAPL,257.80,258.00,253.14,254.04
2025-10-08,1,AAPL,256.52,258.52,256.11,258.06
2025-10-07,1,AAPL,256.80,257.40,255.43,256.48
2025-10-06,1,AAPL,257.99,259.07,255.05,256.69
2025-10-03,1,AAPL,254.66,259.24,253.95,258.02
2025-10-02,1,AAPL,256.58,258.18,254.15,257.13
2025-10-01,1,AAPL,255.04,258.79,254.93,255.45
2025-09-30,1,AAPL,254.86,255.92,253.11,254.63
2025-09-29,1,AAPL,254.56,255.00,253.01,254.43
2025-09-26,1,AAPL,254.10,257.60,253.78,255.46
2025-09-25,1,AAPL,253.20,257.17,251.71,256.87
2025-09-24,1,AAPL,255.22,255.74,251.04,252.31
2025-09-23,1,AAPL,255.88,257.34,253.58,254.43
2025-09-22,1,AAPL,248.30,256.64,248.12,256.08
2025-09-19,1,AAPL,241.22,246.30,240.21,245.50
2025-09-18,1,AAPL,239.97,241.20,236.65,237.88
2025-09-17,1,AAPL,238.97,240.10,237.73,238.99
2025-09-16,1,AAPL,237.18,241.22,236.32,238.15
2025-09-15,1,AAPL,237.00,238.19,235.03,236.70
2025-09-12,1,AAPL,229.22,234.51,229.02,234.07
2025-09-11,1,AAPL,226.88,230.45,226.65,230.03
2025-09-10,1,AAPL,232.18,232.42,225.95,226.79
2025-09-09,1,AAPL,237.00,238.78,233.36,234.35
2025-09-08,1,AAPL,239.30,240.15,236.34,237.88
2025-09-05,1,AAPL,240.00,241.32,238.49,239.69
2025-09-04,1,AAPL,238.45,239.90,236.74,239.78
2025-09-03,1,AAPL,237.21,238.85,234.36,238.47
2025-09-02,1,AAPL,229.25,230.85,226.97,229.72
2025-08-29,1,AAPL,232.51,233.38,231.37,232.14
